,filename,cough_detected,duration,status,status_SSL,anomaly
0,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00014dcc-0f06-4c27-8c7b-737b18a2cf4c.webm,0.0155,4.11718820861678,,,
5,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0012c608-33d0-4ef7-bde3-75a0b1a0024e.webm,0.0482,9.96,,,
7,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00196ba6-0087-484b-a104-3e8884599596.webm,0.3079,2.185895691609977,,,
8,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/001c85a8-cc4d-4921-9297-848be52d4715.webm,0.0735,0.8889342403628118,,,
11,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00273cdf-ed90-4105-84ec-0c88d52f1dc0.webm,0.0307,0.3151020408163265,,,
16,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002db0bd-e57f-4c30-ade0-16640d424eb7.webm,0.9536,2.313106575963719,,,
17,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002ddcbd-41a3-471c-938f-a286f3d7e7a7.webm,0.9846,0.4179591836734694,,,
19,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00343395-c86c-47e3-a10f-fa3036f4572f.webm,0.824,0.4935600907029479,,,
21,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00367af5-03f2-4fa5-b793-6329c943deda.webm,0.3009,0.3159637188208616,,,
24,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00389fd1-f404-4124-acd5-61f6635727cb.webm,0.0632,1.208798185941043,,,
25,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003a3f57-fab4-4853-a246-d6891186bc84.webm,0.9985,1.2674829931972789,,,
26,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003c7941-a3ef-4daf-b8a8-5c77c82504b0.webm,0.9882,1.099637188208617,,,
31,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00430a83-0fd3-4e5c-ae81-82a541f43d3a.webm,0.4277,0.4179591836734694,,,
37,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0052ea2e-021b-4442-a86d-8b5f70a0db97.webm,0.0456,0.3947392290249433,,,
38,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0055eb06-703b-4fe7-9393-2e1641bfd061.webm,0.0246,1.1407709750566897,,,
41,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005ae1c2-7bc2-44c9-bc88-cf0af4ca762f.webm,0.9917,0.7430385487528345,,,
44,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005d63f8-a8e2-4684-a2bc-d65ffbb13707.webm,0.9794,4.701950113378685,,,
46,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0063937c-5758-4d7b-803f-0c53f102e5fb.webm,0.9948,1.8068027210884356,,,
47,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0066b126-104a-45a6-a88e-0697c6baa0aa.webm,0.9729,1.414784580498866,,,
50,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006b4de4-d28a-4599-a5e0-7f4f7552b185.webm,0.5799,1.1106122448979592,,,
53,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006e496e-1dc5-4cac-b16b-f6051d5e5fa1.webm,0.8904,1.288390022675737,,,
54,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006e91be-bacc-42fa-b08f-d841e8135ebc.webm,0.0412,0.5072562358276644,,,
55,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006f340f-7067-4a95-ae52-97bf9ba31558.webm,0.2216,6.06390022675737,,,
59,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00753f6f-1310-45c7-b10a-9580e29a6201.webm,0.9818,0.9658956916099772,,,
61,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c1eb6-d9c2-4559-be04-2f1e8ea332c8.webm,0.958,1.2123356009070294,,,
62,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c80ab-049f-4a73-b13e-ca242702aabe.webm,0.9437,1.958639455782313,,,
63,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007dbe5f-3fc6-47a4-a2fd-7f8dee0ca6ca.webm,0.2098,5.500408163265306,,,
65,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00803f5a-d6eb-4eea-aeaa-3221fce7e9b4.webm,0.115,5.142267573696145,,,
67,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00818b42-c75e-4bed-aacc-426e7caae49e.webm,0.8429,0.6112925170068028,,,
