,filename,cough_detected,duration,status,status_SSL,anomaly
16,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002db0bd-e57f-4c30-ade0-16640d424eb7.webm,0.9536,2.313106575963719,,,
17,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/002ddcbd-41a3-471c-938f-a286f3d7e7a7.webm,0.9846,0.4179591836734694,,,
19,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00343395-c86c-47e3-a10f-fa3036f4572f.webm,0.824,0.4935600907029479,,,
25,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003a3f57-fab4-4853-a246-d6891186bc84.webm,0.9985,1.2674829931972789,,,
26,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/003c7941-a3ef-4daf-b8a8-5c77c82504b0.webm,0.9882,1.099637188208617,,,
31,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00430a83-0fd3-4e5c-ae81-82a541f43d3a.webm,0.4277,0.4179591836734694,,,
41,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005ae1c2-7bc2-44c9-bc88-cf0af4ca762f.webm,0.9917,0.7430385487528345,,,
44,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/005d63f8-a8e2-4684-a2bc-d65ffbb13707.webm,0.9794,4.701950113378685,,,
46,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0063937c-5758-4d7b-803f-0c53f102e5fb.webm,0.9948,1.806802721088436,,,
47,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0066b126-104a-45a6-a88e-0697c6baa0aa.webm,0.9729,1.414784580498866,,,
50,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006b4de4-d28a-4599-a5e0-7f4f7552b185.webm,0.5799,1.1106122448979592,,,
53,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/006e496e-1dc5-4cac-b16b-f6051d5e5fa1.webm,0.8904,1.288390022675737,,,
59,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00753f6f-1310-45c7-b10a-9580e29a6201.webm,0.9818,0.9658956916099772,,,
61,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c1eb6-d9c2-4559-be04-2f1e8ea332c8.webm,0.958,1.2123356009070294,,,
62,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/007c80ab-049f-4a73-b13e-ca242702aabe.webm,0.9437,1.958639455782313,,,
67,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00818b42-c75e-4bed-aacc-426e7caae49e.webm,0.8429,0.6112925170068028,,,
68,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0084c60b-ea8d-4361-bedb-b230f8b67cec.webm,0.9128,2.3067120181405896,,,
75,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0096a99b-8f20-4bd5-9738-eee7f9fed1d6.webm,0.9943,1.27156462585034,,,
78,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00989cdb-ba34-413f-9c0a-ffa6864bf54e.webm,0.6856,2.297052154195012,,,
83,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/009e677f-e0ed-4765-9f9e-db3fff3921a3.ogg,0.9911,1.203310657596372,,,
89,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00a4e142-2ae1-401e-8319-837e512b1281.webm,0.9926,3.4949659863945577,,,
94,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00b2a7e8-60ce-488d-9fcf-6b5946d4bbc9.webm,0.9504,0.6182312925170068,,,
95,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00b38e22-dbb8-4da9-abed-5ddb6df9f287.wav,0.9648,0.5417687074829932,,,
122,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00e92287-1088-4c8b-97fc-a8502fce4ede.wav,0.8699,1.553061224489796,,,
134,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/00fc3fbd-27fc-4d15-99c5-f49bf50be6ef.wav,0.9876,1.1657142857142857,,,
146,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/010d8a17-18b2-43a7-930d-10aa72dd58d9.webm,0.9716,2.626621315192744,,,
154,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01208e5c-5338-4f1b-b8c6-41c049e40d90.webm,0.9968,1.940498866213152,,,
159,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/012e446d-76e7-4b3e-850d-b654507606aa.webm,0.9673,1.5066666666666666,,,
162,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0135dd4a-d367-4f31-bd42-6a6bb4bb5283.webm,0.3576,1.456689342403628,,,
171,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/013f9a30-9d4d-4df9-b338-468d2be6be37.webm,0.985,0.6836734693877551,,,
178,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01464036-f2b4-4875-82f4-728d7e7279f0.webm,0.9415,1.9299319727891155,,,
183,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/015030c3-f8a5-4658-8727-5360e1e4737b.webm,0.9275,0.8261678004535148,,,
184,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0153da92-3e0e-414c-b0dc-92ef6c64c172.webm,0.922,0.7735600907029478,,,
186,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01567151-7bb2-45ee-9aa8-a1332b5941ea.webm,0.982,2.726167800453515,,,
191,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0161037f-80f4-4dab-9ad7-832246c46196.webm,0.7335,0.5938775510204082,,,
194,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0161e3c5-b986-4ef1-9229-17306e8cfdbe.webm,0.4504,0.8016780045351474,,,
201,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01723b00-382f-4089-a7c3-9c90b3ddad17.webm,0.997,0.8208616780045351,,,
203,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01743507-7a29-431a-9708-d9ec83385ccd.webm,0.993,1.1620861678004537,,,
212,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/018b40a1-c109-459a-9e31-86cbd2cb3918.webm,0.9869,2.046122448979592,,,
214,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/018bc2d1-2ae0-4e11-abab-50e1c75a2dcc.webm,0.3975,2.8012698412698414,,,
220,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01a03fb2-2e31-48d7-9aea-9d7b03445fb4.webm,0.4136,4.816916099773243,,,
228,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01b1433f-24a2-4615-8847-5e4523aa6579.wav,0.9847,0.7977777777777778,,,
229,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01b24244-9b89-4a14-b935-4da842926267.webm,0.9872,4.158321995464853,,,
247,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01dc69c3-28eb-4b87-8b1d-1432724f6470.webm,0.9764,1.1145578231292517,,,
255,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01e92753-8737-447d-a8c6-d323b712b608.webm,0.9924,1.1345578231292517,,,
260,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01f3cf8f-60b3-43f0-904c-479506ba2852.webm,0.9874,1.967301587301588,,,
261,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/01f63a0c-6a7d-4d35-a6ef-c166e0307f45.wav,0.4338,1.2112018140589569,,,
273,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0206b5b3-c28f-48d8-81e6-aeb0bc1abcd1.webm,0.8572,0.6565986394557823,,,
276,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0216f566-704e-4f87-9926-b3989146c315.webm,0.9477,0.693514739229025,,,
278,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/021de102-72c0-4808-b974-e21ca0371ce6.webm,0.9413,0.7710204081632653,,,
285,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/022a48fe-8199-47a0-9459-ff3f4d2d91ed.wav,0.9961,1.745532879818594,,,
287,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/022c60f5-2f48-4930-bc87-805b8b1d8562.webm,0.6499,1.478185941043084,,,
303,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/024cdc20-6630-406d-835b-4b0eb85fc8c0.webm,0.9108,2.575827664399093,,,
304,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/024d8b31-2df6-4bf4-88cd-1c9c253f22f4.webm,0.8283,2.793061224489796,,,
306,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/025519ad-0a49-4a52-a06d-1529eaf3de39.webm,0.9693,2.308616780045352,,,
311,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0258d823-7bdf-451a-9a6c-c48ec3ab3228.webm,0.9974,0.8126984126984127,,,
328,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02770549-8cbb-4841-bf1f-1f5189a6b59b.webm,0.788,0.385578231292517,,,
337,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0286bc63-9d1a-4f12-888d-7c2dc6b2c3fb.webm,0.9882,0.5905215419501134,,,
344,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/028f409d-595f-4ac7-8220-d40c8ea8f02f.ogg,0.8488,0.6112018140589569,,,
351,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0293d996-9612-4a60-bf82-60b9c5a023c3.webm,0.987,4.241043083900227,,,
358,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/029df1d4-19df-4838-825d-9fdd152ef47a.wav,0.868,0.5394104308390023,,,
364,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02a3db84-b28e-44cc-8949-6ddc82973abf.webm,0.7883,0.8260770975056689,,,
376,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02bc3e1c-90f6-4484-a36a-1caf3accec30.webm,0.9863,2.17578231292517,,,
379,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02bf1a5f-4991-4802-8323-1ebcf4d2e233.webm,0.9731,2.350612244897959,,,
389,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/02d9d3f1-0004-4d00-937a-9c26598ab707.webm,0.9972,1.0770068027210884,,,
415,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/03049e13-b0d0-486c-a7d7-a3e587c0967f.webm,0.461,1.234920634920635,,,
419,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/0306e227-b6c5-4b0c-bed4-e2c9130e7d4a.webm,0.8085,2.3658956916099774,,,
436,F:/DATAS/COUGHVID-public_dataset_v3/coughvid_20211012/032e7df9-c964-4120-b738-5cc53eb6152d.webm,0.7759,2.0736961451247167,,,
